KWH USED,KWH GEN
0.104166667,3.403562588
0.270833333,3.097012126
0.4375,3.030810384
0.604166667,2.944481013
0.770833333,2.904860759
0.9375,2.837721519
1.104166667,2.886126582
1.270833333,2.810025316
1.4375,2.807164557
1.604166667,2.916278481
1.770833333,3.080202532
1.9375,3.333367089
2.104166667,3.591037975
2.270833333,3.163063291
2.4375,3.177063291
2.604166667,3.218050633
2.770833333,3.237037975
2.9375,3.159088608
3.104166667,3.133493671
3.270833333,3.215721519
3.4375,3.398405063
3.604166667,4.639670886
3.770833333,4.235088608
2.9375,3.804708861
